vin	V(in)	V(out)
1.409999999999997e-002	1.410000e-002	1.800000e+000
1.419999999999997e-002	1.420000e-002	1.800000e+000
1.429999999999997e-002	1.430000e-002	1.800000e+000
1.439999999999997e-002	1.440000e-002	1.800000e+000
1.449999999999997e-002	1.450000e-002	1.800000e+000
1.459999999999997e-002	1.460000e-002	1.800000e+000
1.469999999999997e-002	1.470000e-002	1.800000e+000
1.479999999999997e-002	1.480000e-002	1.800000e+000
1.489999999999997e-002	1.490000e-002	1.800000e+000
1.499999999999997e-002	1.500000e-002	1.800000e+000
1.509999999999996e-002	1.510000e-002	1.800000e+000
1.519999999999996e-002	1.520000e-002	1.800000e+000
1.529999999999996e-002	1.530000e-002	1.800000e+000
1.539999999999996e-002	1.540000e-002	1.800000e+000
1.549999999999996e-002	1.550000e-002	1.800000e+000
1.559999999999996e-002	1.560000e-002	1.800000e+000
1.569999999999996e-002	1.570000e-002	1.800000e+000
1.579999999999996e-002	1.580000e-002	1.800000e+000
1.589999999999996e-002	1.590000e-002	1.800000e+000
1.599999999999996e-002	1.600000e-002	1.800000e+000
1.609999999999996e-002	1.610000e-002	1.800000e+000
1.619999999999996e-002	1.620000e-002	1.800000e+000
1.629999999999996e-002	1.630000e-002	1.800000e+000
1.639999999999996e-002	1.640000e-002	1.800000e+000
1.649999999999996e-002	1.650000e-002	1.800000e+000
1.659999999999996e-002	1.660000e-002	1.800000e+000
1.669999999999995e-002	1.670000e-002	1.800000e+000
1.679999999999995e-002	1.680000e-002	1.800000e+000
1.689999999999995e-002	1.690000e-002	1.800000e+000
1.699999999999995e-002	1.700000e-002	1.800000e+000
1.709999999999995e-002	1.710000e-002	1.800000e+000
1.719999999999995e-002	1.720000e-002	1.800000e+000
1.729999999999995e-002	1.730000e-002	1.800000e+000
1.739999999999995e-002	1.740000e-002	1.800000e+000
1.749999999999995e-002	1.750000e-002	1.800000e+000
1.759999999999995e-002	1.760000e-002	1.800000e+000
1.769999999999995e-002	1.770000e-002	1.800000e+000
1.779999999999995e-002	1.780000e-002	1.800000e+000
1.789999999999995e-002	1.790000e-002	1.800000e+000
1.799999999999995e-002	1.800000e-002	1.800000e+000
1.809999999999995e-002	1.810000e-002	1.800000e+000
1.819999999999995e-002	1.820000e-002	1.800000e+000
1.829999999999995e-002	1.830000e-002	1.800000e+000
1.839999999999994e-002	1.840000e-002	1.800000e+000
1.849999999999994e-002	1.850000e-002	1.800000e+000
1.859999999999994e-002	1.860000e-002	1.800000e+000
1.869999999999994e-002	1.870000e-002	1.800000e+000
1.879999999999994e-002	1.880000e-002	1.800000e+000
1.889999999999994e-002	1.890000e-002	1.800000e+000
1.899999999999994e-002	1.900000e-002	1.800000e+000
1.909999999999994e-002	1.910000e-002	1.800000e+000
1.919999999999994e-002	1.920000e-002	1.800000e+000
1.929999999999994e-002	1.930000e-002	1.800000e+000
1.939999999999994e-002	1.940000e-002	1.800000e+000
1.949999999999994e-002	1.950000e-002	1.800000e+000
1.959999999999994e-002	1.960000e-002	1.800000e+000
1.969999999999994e-002	1.970000e-002	1.800000e+000
1.979999999999994e-002	1.980000e-002	1.800000e+000
1.989999999999994e-002	1.990000e-002	1.800000e+000
1.999999999999993e-002	2.000000e-002	1.800000e+000
2.009999999999993e-002	2.010000e-002	1.800000e+000
2.019999999999993e-002	2.020000e-002	1.800000e+000
2.029999999999993e-002	2.030000e-002	1.800000e+000
2.039999999999993e-002	2.040000e-002	1.800000e+000
2.049999999999993e-002	2.050000e-002	1.800000e+000
2.059999999999993e-002	2.060000e-002	1.800000e+000
2.069999999999993e-002	2.070000e-002	1.800000e+000
2.079999999999993e-002	2.080000e-002	1.800000e+000
